a,b,c
1,2,1
2,4,4
3,6,9
4,8,16
5,10,25
6,12,36
7,14,49
8,16,64
9,18,81
10,20,100
11,22,121
12,24,144
13,26,169
14,28,196
15,30,225
16,32,256
17,34,289
18,36,324
19,38,361
20,40,400
21,42,441
22,44,484
23,46,529
24,48,576
25,50,625
26,52,676
27,54,729
28,56,784
29,58,841
30,60,900
31,62,961
32,64,1024
33,66,1089
34,68,1156
35,70,1225
36,72,1296
37,74,1369
38,76,1444
39,78,1521
40,80,1600
41,82,1681
42,84,1764
43,86,1849
44,88,1936
45,90,2025
46,92,2116
47,94,2209
48,96,2304
49,98,2401
50,100,2500
51,102,2601
52,104,2704
53,106,2809
54,108,2916
55,110,3025
56,112,3136
57,114,3249
58,116,3364
59,118,3481
60,120,3600
61,122,3721
62,124,3844
63,126,3969
64,128,4096
65,130,4225
66,132,4356
67,134,4489
68,136,4624
69,138,4761
70,140,4900
71,142,5041
72,144,5184
73,146,5329
74,148,5476
75,150,5625
76,152,5776
77,154,5929
78,156,6084
79,158,6241
80,160,6400
81,162,6561
82,164,6724
83,166,6889
84,168,7056
85,170,7225
86,172,7396
87,174,7569
88,176,7744
89,178,7921
90,180,8100
91,182,8281
92,184,8464
93,186,8649
94,188,8836
95,190,9025
96,192,9216
97,194,9409
98,196,9604
99,198,9801
100,200,10000
1,2,1
2,4,4
3,6,9
4,8,16
5,10,25
6,12,36
7,14,49
8,16,64
9,18,81
10,20,100
11,22,121
12,24,144
13,26,169
14,28,196
15,30,225
16,32,256
17,34,289
18,36,324
19,38,361
20,40,400
21,42,441
22,44,484
23,46,529
24,48,576
25,50,625
26,52,676
27,54,729
28,56,784
29,58,841
30,60,900
31,62,961
32,64,1024
33,66,1089
34,68,1156
35,70,1225
36,72,1296
37,74,1369
38,76,1444
39,78,1521
40,80,1600
41,82,1681
42,84,1764
43,86,1849
44,88,1936
45,90,2025
46,92,2116
47,94,2209
48,96,2304
49,98,2401
50,100,2500
51,102,2601
52,104,2704
53,106,2809
54,108,2916
55,110,3025
56,112,3136
57,114,3249
58,116,3364
59,118,3481
60,120,3600
61,122,3721
62,124,3844
63,126,3969
64,128,4096
65,130,4225
66,132,4356
67,134,4489
68,136,4624
69,138,4761
70,140,4900
71,142,5041
72,144,5184
73,146,5329
74,148,5476
75,150,5625
76,152,5776
77,154,5929
78,156,6084
79,158,6241
80,160,6400
81,162,6561
82,164,6724
83,166,6889
84,168,7056
85,170,7225
86,172,7396
87,174,7569
88,176,7744
89,178,7921
90,180,8100
91,182,8281
92,184,8464
93,186,8649
94,188,8836
95,190,9025
96,192,9216
97,194,9409
98,196,9604
99,198,9801
100,200,10000
